Date,Price,Return,Log_Price,LogReturns
2024-08-30,113.79,-0.5071,4.734354644368917,
2024-09-03,109.85,-3.4625,4.699115798830619,-0.0352388455382977
2024-09-04,108.56,-1.1743,4.687303015526614,-0.011812783304005592
2024-09-05,107.45,-1.0225,4.67702562308852,-0.01027739243809389
2024-09-06,106.02,-1.3309,4.66362775555966,-0.013397867528859742
2024-09-09,105.6,-0.3962,4.659658371272161,-0.003969384287499267
2024-09-10,104.0,-1.5152,4.6443908991413725,-0.015267472130788384
2024-09-11,102.57,-1.375,4.630545492319319,-0.013845406822053263
2024-09-12,102.9,0.3217,4.633757642840004,0.0032121505206843537
2024-09-13,103.5,0.5831,4.639571612705423,0.005813969865419821
2024-09-16,105.55,1.9807,4.65918477429433,0.019613161588906358
2024-09-17,108.29,2.5959,4.6848128136402885,0.025628039345958697
2024-09-18,108.62,0.3047,4.687855552606699,0.0030427389664104965
2024-09-19,110.55,1.7768,4.705467907303455,0.01761235469675615
2024-09-20,109.87,-0.6151,4.699297848712789,-0.006170058590665661
2024-09-23,109.69,-0.1638,4.6976582054232425,-0.0016396432895469104
2024-09-24,108.91,-0.7111,4.690521853087595,-0.0071363523356478
2024-09-25,105.73,-2.9198,4.660888674744435,-0.029633178343159372
2024-09-26,102.31,-3.2347,4.6280074198908485,-0.03288125485358684
2024-09-27,104.72,2.3556,4.651290121601645,0.02328270171079616
2024-09-30,105.28,0.5348,4.656623467577007,0.005333345975362391
2024-10-01,109.37,3.8849,4.694736629347134,0.038113161770127135
2024-10-02,110.36,0.9052,4.703747749349085,0.009011120001950701
2024-10-03,112.42,1.8666,4.722241857573929,0.018494108224843764
2024-10-04,114.54,1.8858,4.7409241069657115,0.018682249391782868
2024-10-07,114.72,0.1572,4.74249437685131,0.0015702698855983854
2024-10-08,110.8,-3.417,4.707726774313183,-0.034767602538126496
2024-10-09,110.97,0.1534,4.709259894512472,0.0015331201992889731
2024-10-10,111.86,0.802,4.717248089393442,0.007988194880969246
2024-10-11,110.49,-1.2247,4.704925019125084,-0.012323070268357661
2024-10-14,109.47,-0.9232,4.695650539116466,-0.009274480008618191
2024-10-15,105.21,-3.8915,4.655958352820196,-0.03969218629626958
2024-10-16,105.16,-0.0475,4.655482999861681,-0.00047535295851552917
2024-10-17,106.15,0.9414,4.664853188149265,0.009370188287584291
2024-10-18,105.67,-0.4522,4.660321030452939,-0.004532157696325534
2024-10-21,104.99,-0.6435,4.65386510752685,-0.006455922926089208
2024-10-22,105.0,0.0095,4.653960350157523,9.524263067284267e-05
2024-10-23,104.51,-0.4667,4.649282760606412,-0.004677589551111083
2024-10-24,104.37,-0.134,4.647942277831961,-0.0013404827744514236
2024-10-25,104.56,0.182,4.649761069315966,0.0018187914840055441
2024-10-28,103.26,-1.2433,4.637250079451503,-0.012510989864463085
2024-10-29,102.32,-0.9103,4.628105157270587,-0.009144922180915671
2024-10-30,102.98,0.645,4.634534794617996,0.006429637347408423
2024-10-31,109.54,6.3702,4.696289779355575,0.06175498473757912
2024-11-01,107.84,-1.5519,4.680648647163997,-0.015641132191578144
2024-11-04,108.86,0.9458,4.690062653006054,0.009414005842057094
2024-11-05,109.21,0.3215,4.693272634209637,0.0032099812035832898
2024-11-06,113.63,4.0472,4.7329475559299174,0.03967492172028031
2024-11-07,112.4,-1.0825,4.722063937459591,-0.010883618470326262
2024-11-08,111.59,-0.7206,4.71483144019761,-0.007232497261981052
2024-11-11,112.05,0.4122,4.718945200246936,0.004113760049325954
2024-11-12,110.64,-1.2584,4.706281687356503,-0.012663512890433104
2024-11-13,111.82,1.0665,4.716890435598499,0.010608748241995869
2024-11-14,112.92,0.9837,4.726679603385288,0.009789167786789399
2024-11-15,112.32,-0.5313,4.721351940277501,-0.00532766310778765
2024-11-18,113.76,1.2821,4.73409096605493,0.012739025777429802
2024-11-19,113.09,-0.589,4.728183961883236,-0.005907004171694652
2024-11-20,113.43,0.3006,4.731185906570952,0.003001944687715863
2024-11-21,111.9,-1.3488,4.71760561531788,-0.013580291253071586
2024-11-22,111.75,-0.134,4.716264233493678,-0.0013413818242016262
2024-11-25,106.1,-5.0559,4.664382045619937,-0.05188218787374144
2024-11-26,106.78,0.6409,4.67077064307204,0.006388597452103184
2024-11-27,107.39,0.5713,4.676467067870125,0.005696424798085076
2024-11-29,108.34,0.8846,4.685274430229753,0.008807362359627646
2024-12-02,106.14,-2.0306,4.664758977399749,-0.02051545283000422
2024-12-03,106.05,-0.0848,4.663910681010692,-0.0008482963890568129
2024-12-04,103.51,-2.3951,4.639668226395659,-0.024242454615032827
2024-12-05,104.44,0.8985,4.648612743830928,0.008944517435269361
2024-12-06,103.22,-1.1681,4.6368626327205815,-0.01175011111034685
2024-12-09,103.16,-0.0581,4.636281181013144,-0.000581451707437175
2024-12-10,102.36,-0.7755,4.628496011291588,-0.007785169721556073
2024-12-11,102.19,-0.1661,4.626833825624118,-0.0016621856674703395
2024-12-12,100.91,-1.2526,4.614229030476437,-0.012604795147680647
2024-12-13,101.02,0.109,4.615318517039906,0.0010894865634689666
2024-12-16,99.57,-1.4354,4.600860914399993,-0.014457602639913247
2024-12-17,98.26,-1.3157,4.587617026740502,-0.013243887659490916
2024-12-18,95.85,-2.4527,4.562784469491653,-0.024832557248848808
2024-12-19,95.18,-0.699,4.555769835692964,-0.007014633798688941
2024-12-20,95.12,-0.063,4.555139252382526,-0.0006305833104383041
2024-12-23,96.38,1.3246,4.5682987112121864,0.013159458829660409
2024-12-24,97.11,0.7574,4.575844356606263,0.007545645394076317
2024-12-26,96.89,-0.2265,4.573576314396913,-0.00226804220934973
2024-12-27,96.92,0.031,4.573885895948325,0.00030958155141203036
2024-12-30,97.09,0.1754,4.575638383382054,0.0017524874337286889
2024-12-31,99.17,2.1423,4.596835549198034,0.021197165815980412
2025-01-02,100.08,0.9176,4.605969866158656,0.009134316960621724
2025-01-03,101.09,1.0092,4.616011209165967,0.010041343007310743
2025-01-06,99.99,-1.0881,4.605070180987758,-0.010941028178208967
2025-01-07,101.67,1.6802,4.62173227428707,0.016662093299312453
2025-01-08,101.62,-0.0492,4.621240366165586,-0.0004919081214840304
2025-01-10,101.92,0.2952,4.624188191823853,0.0029478256582669005
2025-01-13,104.23,2.2665,4.646599995751231,0.02241180392737796
2025-01-14,104.88,0.6236,4.652816839455444,0.006216843704213382
2025-01-15,105.48,0.5721,4.658521361485086,0.005704522029641446
2025-01-16,105.61,0.1232,4.659753063758383,0.0012317022732970528
2025-01-17,105.85,0.2273,4.662022997580874,0.00226993382249141
2025-01-21,104.28,-1.4832,4.647079589065301,-0.014943408515573076
2025-01-22,103.06,-1.1699,4.635311342900078,-0.011768246165223317
2025-01-23,103.99,0.9024,4.644294740672142,0.008983397772063917
2025-01-24,101.83,-2.0771,4.623304756183574,-0.020989984488568147
2025-01-27,102.69,0.8445,4.631714741210204,0.008409985026630373
2025-01-28,101.38,-1.2757,4.6188758330442035,-0.012838908166000529
2025-01-29,101.56,0.1775,4.620649756836477,0.0017739237922738127
2025-01-30,101.46,-0.0985,4.6196646321385435,-0.0009851246979337702
2025-01-31,98.83,-2.5922,4.593401202388092,-0.026263429750451373
2025-02-03,98.48,-0.3541,4.589853481876198,-0.0035477205118938926
2025-02-04,100.58,2.1324,4.610953430743819,0.021099948867620455
2025-02-05,100.21,-0.3679,4.607267984070237,-0.003685446673581616
2025-02-06,99.94,-0.2694,4.604570005916059,-0.002697978154178493
2025-02-07,98.36,-1.5809,4.588634217347992,-0.015935788568066656
2025-02-10,99.48,1.1387,4.599956618935204,0.011322401587212205
2025-02-11,101.71,2.2417,4.622125626637505,0.022169007702300902
2025-02-12,98.4,-3.2544,4.589040804058207,-0.03308482257929768
2025-02-13,96.9,-1.5244,4.5736795188967205,-0.015361285161486826
2025-02-14,96.26,-0.6605,4.567052863874963,-0.0066266550217575215
2025-02-18,97.45,1.2362,4.57933942595357,0.012286562078607233
2025-02-19,99.57,2.1755,4.600860914399993,0.021521488446422765
2025-02-20,102.0,2.4405,4.624972813284271,0.02411189888427767
2025-02-21,97.94,-3.9804,4.584355046274172,-0.040617767010099115
2025-02-24,98.82,0.8985,4.593300013417604,0.008944967143432514
2025-02-25,97.08,-1.7608,4.5755353808584,-0.017764632559203797
2025-02-26,96.64,-0.4532,4.570992734186505,-0.004542646671895412
