Date,Price,Return,Log_Price,LogReturns
2024-08-30,92.36,2.4515,4.525693984486295,
2024-09-03,92.24,-0.1299,4.524393875960803,-0.0013001085254913392
2024-09-04,91.32,-0.9974,4.514369821661595,-0.010024054299208274
2024-09-05,91.81,0.5366,4.519721224155608,0.005351402494013335
2024-09-06,91.06,-0.8169,4.511518629906636,-0.008202594248972517
2024-09-09,92.04,1.0762,4.522223265167165,0.010704635260529116
2024-09-10,91.72,-0.3477,4.518740457989703,-0.003482807177461744
2024-09-11,90.24,-1.6136,4.502472787749749,-0.016267670239954235
2024-09-12,90.5,0.2881,4.505349850705881,0.0028770629561316596
2024-09-13,91.37,0.9613,4.514917197010529,0.009567346304648616
2024-09-16,93.68,2.5282,4.539884719289462,0.024967522278932286
2024-09-17,94.66,1.0461,4.5502915244781015,0.0104068051886399
2024-09-18,93.9,-0.8029,4.542230386214217,-0.008061138263884438
2024-09-19,93.77,-0.1384,4.540844975431534,-0.001385410782683394
2024-09-20,93.97,0.2133,4.542975582394973,0.0021306069634396962
2024-09-23,95.27,1.3834,4.556714965718688,0.013739383323714272
2024-09-24,95.23,-0.042,4.5562950182059545,-0.0004199475127331098
2024-09-25,94.69,-0.567,4.550608397995409,-0.00568662021054589
2024-09-26,89.15,-5.8507,4.49032034430915,-0.06028805368625889
2024-09-27,90.24,1.2227,4.502472787749749,0.012152443440599292
2024-09-30,91.13,0.9863,4.5122870585080355,0.009814270758286447
2024-10-01,92.28,1.2619,4.524827433305553,0.012540374797517906
2024-10-02,93.4,1.2137,4.536891345234797,0.01206391192924361
2024-10-03,94.71,1.4026,4.55081959123801,0.013928246003213296
2024-10-04,95.23,0.549,4.5562950182059545,0.00547542696794423
2024-10-07,94.84,-0.4095,4.552191261197205,-0.004103757008749653
2024-10-08,93.6,-1.3075,4.539030383483547,-0.013160877713658259
2024-10-09,94.75,1.2286,4.5512418439625355,0.012211460478988911
2024-10-10,94.69,-0.0633,4.550608397995409,-0.0006334459671268888
2024-10-11,96.61,2.0277,4.570682255529419,0.02007385753401003
2024-10-14,97.5,0.9212,4.579852378003801,0.009170122474382758
2024-10-15,94.98,-2.5846,4.553666343120976,-0.02618603488282556
2024-10-16,95.65,0.7054,4.560695695886262,0.0070293527652864896
