time,open,high,low,close,volume
2024-11-29 14:30:00,234.805,235.0,234.12,234.295,793104
2024-11-29 14:31:00,234.32,234.41,233.97,234.305,135608
2024-11-29 14:32:00,234.33,234.5,234.04,234.08,73348
2024-11-29 14:33:00,234.1,234.415,234.1,234.36,59416
2024-11-29 14:34:00,234.36,234.67,234.26,234.58,78199
2024-11-29 14:35:00,234.62,234.98,234.6,234.91,70097
2024-11-29 14:36:00,234.9,235.09,234.65,235.055,110099
2024-11-29 14:37:00,235.055,235.27,235.04,235.19,120325
2024-11-29 14:38:00,235.185,235.25,235.01,235.01,74622
2024-11-29 14:39:00,235.025,235.38,235.0,235.355,91277
2024-11-29 14:40:00,235.34,235.52,235.29,235.49,115293
2024-11-29 14:41:00,235.49,235.6,235.41,235.51,91201
2024-11-29 14:42:00,235.506,235.645,235.5,235.52,88506
2024-11-29 14:43:00,235.53,235.53,235.38,235.41,46617
2024-11-29 14:44:00,235.39,235.45,235.34,235.39,41720
2024-11-29 14:45:00,235.415,235.61,235.395,235.595,57986
2024-11-29 14:46:00,235.58,235.59,235.2,235.21,60149
2024-11-29 14:47:00,235.22,235.33,235.16,235.325,62269
2024-11-29 14:48:00,235.325,235.39,235.08,235.109,44751
2024-11-29 14:49:00,235.11,235.2,235.05,235.14,46129
2024-11-29 14:50:00,235.145,235.34,235.08,235.26,49773
2024-11-29 14:51:00,235.255,235.32,235.15,235.29,28868
2024-11-29 14:52:00,235.306,235.306,235.24,235.27,29661
2024-11-29 14:53:00,235.26,235.44,235.25,235.39,55099
2024-11-29 14:54:00,235.391,235.52,235.385,235.51,40412
2024-11-29 14:55:00,235.51,235.59,235.45,235.54,61746
2024-11-29 14:56:00,235.54,235.69,235.53,235.625,70348
2024-11-29 14:57:00,235.625,235.68,235.51,235.51,48777
2024-11-29 14:58:00,235.52,235.55,235.41,235.489,52347
2024-11-29 14:59:00,235.49,235.69,235.475,235.64,59931
2024-11-29 15:00:00,235.69,235.79,235.62,235.635,111905
2024-11-29 15:01:00,235.64,235.715,235.54,235.68,47625
2024-11-29 15:02:00,235.7,235.7,235.39,235.45,66962
2024-11-29 15:03:00,235.46,235.51,235.32,235.335,47129
2024-11-29 15:04:00,235.335,235.43,235.29,235.39,47048
2024-11-29 15:05:00,235.4,235.52,235.38,235.48,27637
2024-11-29 15:06:00,235.47,235.599,235.46,235.585,62571
2024-11-29 15:07:00,235.59,235.73,235.58,235.71,65978
2024-11-29 15:08:00,235.71,235.87,235.7,235.85,108141
2024-11-29 15:09:00,235.86,235.89,235.68,235.74,69832
2024-11-29 15:10:00,235.74,235.828,235.73,235.74,46384
2024-11-29 15:11:00,235.74,235.8,235.66,235.765,62722
2024-11-29 15:12:00,235.76,235.79,235.55,235.56,35143
2024-11-29 15:13:00,235.56,235.64,235.505,235.57,46543
2024-11-29 15:14:00,235.57,235.58,235.47,235.52,54527
2024-11-29 15:15:00,235.52,235.54,235.47,235.54,33749
2024-11-29 15:16:00,235.54,235.55,235.345,235.37,40410
2024-11-29 15:17:00,235.4,235.4,235.34,235.35,24819
2024-11-29 15:18:00,235.345,235.355,235.18,235.21,71941
2024-11-29 15:19:00,235.2,235.27,235.19,235.27,29954
2024-11-29 15:20:00,235.31,235.32,235.22,235.3,30843
