time,open,high,low,close,volume
2024-11-29 14:30:00,22.58,22.64,22.51,22.545,141624
2024-11-29 14:31:00,22.545,22.68,22.545,22.64,15315
2024-11-29 14:32:00,22.64,22.68,22.63,22.67,2400
2024-11-29 14:33:00,22.6557,22.6557,22.63,22.63,1038
2024-11-29 14:34:00,22.64,22.6693,22.58,22.615,13733
2024-11-29 14:35:00,22.6101,22.635,22.58,22.585,4321
2024-11-29 14:36:00,22.585,22.59,22.56,22.56,7670
2024-11-29 14:37:00,22.56,22.565,22.53,22.545,7571
2024-11-29 14:38:00,22.552,22.56,22.52,22.5519,5854
2024-11-29 14:39:00,22.57,22.58,22.53,22.56,11003
2024-11-29 14:40:00,22.56,22.61,22.56,22.6,6938
2024-11-29 14:41:00,22.59,22.61,22.58,22.61,2336
2024-11-29 14:42:00,22.608,22.65,22.608,22.62,5833
2024-11-29 14:43:00,22.6,22.63,22.595,22.61,2402
2024-11-29 14:44:00,22.61,22.63,22.61,22.62,1422
2024-11-29 14:45:00,22.62,22.63,22.59,22.595,6516
2024-11-29 14:46:00,22.59,22.62,22.58,22.61,1692
2024-11-29 14:47:00,22.615,22.65,22.6,22.635,10951
2024-11-29 14:48:00,22.63,22.63,22.61,22.61,3266
2024-11-29 14:49:00,22.62,22.64,22.615,22.62,4698
2024-11-29 14:50:00,22.61,22.62,22.585,22.59,2200
2024-11-29 14:51:00,22.59,22.5908,22.57,22.5891,3973
2024-11-29 14:52:00,22.58,22.59,22.56,22.5632,3954
2024-11-29 14:53:00,22.57,22.57,22.555,22.555,1937
2024-11-29 14:54:00,22.56,22.59,22.56,22.585,6755
2024-11-29 14:55:00,22.585,22.64,22.585,22.615,5305
2024-11-29 14:56:00,22.61,22.615,22.595,22.595,800
2024-11-29 14:57:00,22.61,22.62,22.61,22.62,599
2024-11-29 14:58:00,22.62,22.62,22.55,22.55,27427
2024-11-29 14:59:00,22.55,22.55,22.485,22.49,7575
2024-11-29 15:00:00,22.47,22.49,22.47,22.48,2000
2024-11-29 15:01:00,22.485,22.5,22.48,22.48,2193
2024-11-29 15:02:00,22.48,22.5,22.46,22.5,44652
2024-11-29 15:03:00,22.49,22.515,22.49,22.51,7291
2024-11-29 15:04:00,22.505,22.53,22.505,22.51,8793
2024-11-29 15:05:00,22.52,22.52,22.5,22.51,1500
2024-11-29 15:06:00,22.52,22.56,22.52,22.56,5212
2024-11-29 15:07:00,22.55,22.56,22.515,22.52,7855
2024-11-29 15:08:00,22.51,22.525,22.51,22.52,2126
2024-11-29 15:09:00,22.511,22.535,22.511,22.53,1710
2024-11-29 15:10:00,22.535,22.55,22.52,22.545,7296
2024-11-29 15:11:00,22.545,22.555,22.535,22.535,13245
2024-11-29 15:12:00,22.53,22.5399,22.51,22.51,4376
2024-11-29 15:13:00,22.51,22.53,22.505,22.525,3100
2024-11-29 15:14:00,22.525,22.53,22.515,22.525,1650
2024-11-29 15:15:00,22.53,22.53,22.475,22.475,17263
2024-11-29 15:16:00,22.48,22.485,22.47,22.485,1250
2024-11-29 15:17:00,22.48,22.485,22.47,22.47,4176
2024-11-29 15:18:00,22.48,22.5,22.48,22.495,7395
2024-11-29 15:19:00,22.495,22.51,22.494,22.495,4896
2024-11-29 15:20:00,22.5,22.51,22.48,22.505,4734
2024-11-29 15:21:00,22.5,22.515,22.495,22.51,2100
2024-11-29 15:22:00,22.515,22.525,22.515,22.525,1113
2024-11-29 15:23:00,22.535,22.55,22.53,22.545,11700
2024-11-29 15:24:00,22.545,22.56,22.535,22.545,44295
2024-11-29 15:25:00,22.545,22.56,22.545,22.545,11000
2024-11-29 15:26:00,22.5425,22.5425,22.52,22.525,2750
2024-11-29 15:27:00,22.5299,22.54,22.525,22.54,2493
2024-11-29 15:28:00,22.54,22.54,22.52,22.525,5192
2024-11-29 15:29:00,22.52,22.525,22.51,22.51,3865
2024-11-29 15:30:00,22.5,22.52,22.49,22.52,3392
2024-11-29 15:31:00,22.515,22.535,22.515,22.535,4802
2024-11-29 15:32:00,22.535,22.54,22.535,22.54,5875
2024-11-29 15:33:00,22.56,22.565,22.56,22.5614,2827
2024-11-29 15:34:00,22.565,22.5652,22.5602,22.565,4107
2024-11-29 15:35:00,22.57,22.5989,22.56,22.5989,6781
2024-11-29 15:36:00,22.5901,22.5901,22.585,22.585,1200
2024-11-29 15:37:00,22.58,22.585,22.57,22.585,2732
2024-11-29 15:38:00,22.59,22.62,22.5891,22.61,21294
2024-11-29 15:39:00,22.6,22.605,22.6,22.605,873
2024-11-29 15:40:00,22.61,22.63,22.61,22.63,3470
2024-11-29 15:41:00,22.64,22.645,22.605,22.605,6350
2024-11-29 15:42:00,22.6058,22.615,22.605,22.615,4716
2024-11-29 15:43:00,22.615,22.625,22.605,22.6059,6187
2024-11-29 15:44:00,22.61,22.62,22.605,22.605,3619
2024-11-29 15:45:00,22.61,22.61,22.61,22.61,200
2024-11-29 15:46:00,22.6,22.615,22.5842,22.615,5185
2024-11-29 15:47:00,22.615,22.635,22.615,22.625,13628
2024-11-29 15:48:00,22.63,22.635,22.63,22.635,1400
2024-11-29 15:49:00,22.635,22.65,22.625,22.64,3849
2024-11-29 15:50:00,22.645,22.645,22.635,22.635,1669
2024-11-29 15:51:00,22.63,22.645,22.625,22.645,1803
2024-11-29 15:52:00,22.65,22.65,22.63,22.65,5069
2024-11-29 15:53:00,22.6588,22.66,22.65,22.65,5400
2024-11-29 15:54:00,22.6509,22.655,22.6509,22.655,1300
2024-11-29 15:55:00,22.65,22.6589,22.65,22.65,10530
2024-11-29 15:56:00,22.65,22.65,22.645,22.645,3564
2024-11-29 15:57:00,22.645,22.67,22.645,22.665,9330
2024-11-29 15:58:00,22.66,22.66,22.65,22.65,2749
2024-11-29 15:59:00,22.655,22.67,22.645,22.655,3462
2024-11-29 16:00:00,22.645,22.655,22.625,22.625,2050
2024-11-29 16:01:00,22.625,22.645,22.625,22.645,1053
2024-11-29 16:02:00,22.65,22.655,22.65,22.655,1867
2024-11-29 16:03:00,22.65,22.65,22.6428,22.6428,1992
2024-11-29 16:04:00,22.645,22.65,22.635,22.645,3476
2024-11-29 16:05:00,22.645,22.65,22.645,22.65,1574
