time,open,high,low,close,volume
2024-11-29 14:30:00,168.5,169.43,167.907,167.94,459978
2024-11-29 14:31:00,167.935,168.17,167.77,167.866,43883
2024-11-29 14:32:00,167.86,168.059,167.702,167.895,53982
2024-11-29 14:33:00,167.93,168.02,167.241,167.27,84674
2024-11-29 14:34:00,167.265,167.45,167.231,167.28,48579
2024-11-29 14:35:00,167.255,167.86,167.16,167.83,77337
2024-11-29 14:36:00,167.82,167.845,167.54,167.67,41570
2024-11-29 14:37:00,167.676,167.82,167.555,167.74,50827
2024-11-29 14:38:00,167.7,167.91,167.51,167.51,39744
2024-11-29 14:39:00,167.5,167.64,167.445,167.465,34773
2024-11-29 14:40:00,167.468,167.52,167.37,167.43,38181
2024-11-29 14:41:00,167.43,167.6,167.34,167.462,35690
2024-11-29 14:42:00,167.46,167.77,167.45,167.763,68955
2024-11-29 14:43:00,167.775,167.98,167.77,167.96,53844
2024-11-29 14:44:00,167.96,168.04,167.81,167.98,51908
2024-11-29 14:45:00,167.966,167.98,167.77,167.895,36714
2024-11-29 14:46:00,167.895,168.12,167.89,168.06,33583
2024-11-29 14:47:00,168.06,168.27,168.01,168.23,51088
2024-11-29 14:48:00,168.255,168.265,168.12,168.13,27087
2024-11-29 14:49:00,168.16,168.27,168.15,168.17,32013
2024-11-29 14:50:00,168.16,168.22,168.12,168.215,17687
2024-11-29 14:51:00,168.215,168.38,168.215,168.375,22424
2024-11-29 14:52:00,168.375,168.4,168.29,168.36,19974
2024-11-29 14:53:00,168.34,168.395,168.26,168.315,15942
2024-11-29 14:54:00,168.33,168.345,168.23,168.339,18526
2024-11-29 14:55:00,168.335,168.402,168.31,168.33,30096
2024-11-29 14:56:00,168.33,168.41,168.295,168.305,18720
2024-11-29 14:57:00,168.295,168.33,168.27,168.275,22781
2024-11-29 14:58:00,168.275,168.275,168.18,168.255,33491
2024-11-29 14:59:00,168.26,168.43,168.19,168.43,47173
2024-11-29 15:00:00,168.43,168.54,168.4,168.5,46368
2024-11-29 15:01:00,168.51,168.67,168.41,168.67,48079
2024-11-29 15:02:00,168.68,168.72,168.58,168.705,21102
2024-11-29 15:03:00,168.7,168.81,168.7,168.765,29583
2024-11-29 15:04:00,168.78,168.79,168.62,168.622,25917
2024-11-29 15:05:00,168.63,168.7,168.62,168.68,17743
2024-11-29 15:06:00,168.71,168.72,168.44,168.465,26050
2024-11-29 15:07:00,168.44,168.64,168.41,168.48,26704
2024-11-29 15:08:00,168.48,168.6,168.47,168.54,19271
2024-11-29 15:09:00,168.51,168.57,168.265,168.34,37016
2024-11-29 15:10:00,168.32,168.58,168.32,168.455,24581
2024-11-29 15:11:00,168.45,168.47,168.355,168.41,20436
2024-11-29 15:12:00,168.415,168.44,168.35,168.355,16433
2024-11-29 15:13:00,168.345,168.35,168.26,168.27,21629
2024-11-29 15:14:00,168.29,168.41,168.26,168.41,29073
2024-11-29 15:15:00,168.42,168.62,168.38,168.62,37787
2024-11-29 15:16:00,168.63,168.67,168.395,168.4,25540
2024-11-29 15:17:00,168.41,168.44,168.385,168.399,12804
2024-11-29 15:18:00,168.395,168.47,168.26,168.27,28286
2024-11-29 15:19:00,168.26,168.33,168.22,168.275,36383
2024-11-29 15:20:00,168.275,168.28,168.15,168.2,19446
2024-11-29 15:21:00,168.205,168.205,168.06,168.07,32416
2024-11-29 15:22:00,168.06,168.09,167.95,168.025,47790
2024-11-29 15:23:00,168.025,168.18,168.015,168.17,16329
2024-11-29 15:24:00,168.17,168.26,168.145,168.19,46260
2024-11-29 15:25:00,168.192,168.215,168.045,168.045,21923
2024-11-29 15:26:00,168.045,168.07,167.97,167.99,15354
