time,open,high,low,close,volume
2024-11-29 14:30:00,58.35,58.49,58.285,58.47,59273
2024-11-29 14:31:00,58.48,58.5,58.36,58.37,6380
2024-11-29 14:32:00,58.3601,58.46,58.3601,58.41,5144
2024-11-29 14:33:00,58.42,58.485,58.4001,58.465,3703
2024-11-29 14:34:00,58.47,58.56,58.47,58.53,2428
2024-11-29 14:35:00,58.525,58.58,58.52,58.535,4201
2024-11-29 14:36:00,58.56,58.56,58.4916,58.4916,1633
2024-11-29 14:37:00,58.51,58.51,58.39,58.4,1930
2024-11-29 14:38:00,58.41,58.46,58.375,58.45,2818
2024-11-29 14:39:00,58.465,58.53,58.465,58.47,2488
2024-11-29 14:40:00,58.47,58.53,58.47,58.51,2752
2024-11-29 14:41:00,58.51,58.51,58.33,58.33,4958
2024-11-29 14:42:00,58.34,58.39,58.34,58.375,5225
2024-11-29 14:43:00,58.37,58.44,58.37,58.44,3915
2024-11-29 14:44:00,58.45,58.48,58.44,58.48,2037
2024-11-29 14:45:00,58.49,58.51,58.45,58.46,2799
2024-11-29 14:46:00,58.45,58.476,58.45,58.455,4977
2024-11-29 14:47:00,58.44,58.485,58.44,58.485,4045
2024-11-29 14:48:00,58.485,58.5,58.45,58.47,3255
2024-11-29 14:49:00,58.465,58.47,58.425,58.47,2050
2024-11-29 14:50:00,58.46,58.48,58.46,58.48,2592
2024-11-29 14:51:00,58.485,58.485,58.46,58.465,572
2024-11-29 14:52:00,58.45,58.48,58.45,58.47,800
2024-11-29 14:53:00,58.45,58.45,58.42,58.42,4719
2024-11-29 14:54:00,58.41,58.4554,58.41,58.44,1904
2024-11-29 14:55:00,58.44,58.5,58.44,58.48,7421
2024-11-29 14:56:00,58.47,58.47,58.443,58.47,5152
2024-11-29 14:57:00,58.47,58.52,58.47,58.52,700
2024-11-29 14:58:00,58.53,58.53,58.51,58.51,3485
2024-11-29 14:59:00,58.51,58.66,58.51,58.63,11406
2024-11-29 15:00:00,58.6369,58.6369,58.59,58.605,3330
